id,evidence,prediction,label
20b34e62-97c2-4ca0-bb1d-7824dab0b8bb,  Measurable or nonmeasurable disease defined by Response Evaluation Criteria In Solid Tumors (RECIST),1,1
20b34e62-97c2-4ca0-bb1d-7824dab0b8bb,Exclusion Criteria:,1,1
20b34e62-97c2-4ca0-bb1d-7824dab0b8bb,  Number of prior chemotherapy lines of treatment in the metastatic setting 2,1,1
893a5337-2aa9-4a87-a020-4c2f03cd4aea,Inclusion Criteria:,1,1
893a5337-2aa9-4a87-a020-4c2f03cd4aea,  Patients presenting for large core breast biopsy in the Radiology Department at the Beth Israel Deaconess Medical Center Boston.,1,1
893a5337-2aa9-4a87-a020-4c2f03cd4aea,Exclusion Criteria:,1,1
893a5337-2aa9-4a87-a020-4c2f03cd4aea,  Patients are excluded if :,1,1
893a5337-2aa9-4a87-a020-4c2f03cd4aea,"  They are unable to give informed consent, or pass screening for impaired mental function or psychosis.",1,1
893a5337-2aa9-4a87-a020-4c2f03cd4aea,  They are unable to hear or understand English.,0,1
893a5337-2aa9-4a87-a020-4c2f03cd4aea,Inclusion Criteria:,1,1
893a5337-2aa9-4a87-a020-4c2f03cd4aea,"  Sign informed consent and Pain level > 4 in the BPI scale,",0,1
893a5337-2aa9-4a87-a020-4c2f03cd4aea,  Stage I-III,1,1
893a5337-2aa9-4a87-a020-4c2f03cd4aea,Exclusion Criteria:,1,1
893a5337-2aa9-4a87-a020-4c2f03cd4aea,  <18 yrs,1,1
893a5337-2aa9-4a87-a020-4c2f03cd4aea,  Stage IV,1,1
893a5337-2aa9-4a87-a020-4c2f03cd4aea,  BPI Score <4,0,1
893a5337-2aa9-4a87-a020-4c2f03cd4aea,Zubrod score >2,0,1
d401affc-f081-4eee-bd61-d109cc88f6de,Inclusion Criteria:,1,0
d401affc-f081-4eee-bd61-d109cc88f6de,  Be a female of any race between the ages of 30-70 years.,0,0
d401affc-f081-4eee-bd61-d109cc88f6de,  History of breast cancer and presently taking an aromatase inhibitor or tamoxifen.,0,0
d401affc-f081-4eee-bd61-d109cc88f6de,  Naturally menopausal:  12 months spontaneous amenorrhea or > 6 but < 12 months amenorrhea with a serum follicle stimulating hormone (FSH) level of > 40 mIU/mL (Milli-international Units Per Milliliter).,0,0
d401affc-f081-4eee-bd61-d109cc88f6de,  Surgically menopausal with an FSH level > 40 mIU/mL.,0,0
d401affc-f081-4eee-bd61-d109cc88f6de,"  Have a minimum of 7 moderate to severe hot flushes/day or 50 moderate to severe hot flushes per week, as verified for both weeks during the 14-day Screening Phase, prior to enrollment into the treatment phase of the study.",1,0
d401affc-f081-4eee-bd61-d109cc88f6de,"  Able to read, understand and complete the required subject diary.",1,0
d401affc-f081-4eee-bd61-d109cc88f6de,"  Willing and able to complete the daily subject diary, attend all study visits, and participate in all study procedures, including PK blood draws.",1,0
d401affc-f081-4eee-bd61-d109cc88f6de,Exclusion Criteria:,1,0
d401affc-f081-4eee-bd61-d109cc88f6de,"  Childbearing potential, including pregnancy, or lactation.",0,0
d401affc-f081-4eee-bd61-d109cc88f6de,  Undiagnosed abnormal genital bleeding.,0,0
d401affc-f081-4eee-bd61-d109cc88f6de,  Significant day-to-day variability in hot flushes.,0,0
d401affc-f081-4eee-bd61-d109cc88f6de,  Participation in another clinical trial within 30 days prior to screening or during the study.,1,1
d401affc-f081-4eee-bd61-d109cc88f6de,  Legal incapacity or limited legal capacity.,0,0
d401affc-f081-4eee-bd61-d109cc88f6de,  Chronic renal (serum creatinine > 2.0 mg/dL) or hepatic disease [SGPT (ALT) or SGOT (AST) > 2X normal limits].,0,0
d401affc-f081-4eee-bd61-d109cc88f6de,"  Gastrointestinal, liver, kidney or other conditions which could interfere with the absorption, distribution, metabolism or excretion of Q-122.",1,0
d401affc-f081-4eee-bd61-d109cc88f6de,  Untreated overt hyperthyroidism.,0,0
d401affc-f081-4eee-bd61-d109cc88f6de,  Use of thyroid medication of less than 12 weeks on a stable dose.,0,0
d401affc-f081-4eee-bd61-d109cc88f6de,  Any clinically important systemic disease in the judgement of the investigator.,1,0
d401affc-f081-4eee-bd61-d109cc88f6de,  Inability to complete all study visits and study assessments for scheduling or other reasons.,1,0
d401affc-f081-4eee-bd61-d109cc88f6de,  Any other reason which in the investigator's opinion makes the subject unsuitable for a clinical trial.,1,0
d401affc-f081-4eee-bd61-d109cc88f6de,  Abnormal laboratory findings including:,0,0
d401affc-f081-4eee-bd61-d109cc88f6de,  Hematocrit < 30% or hemoglobin < 9.5 gm/dL,0,0
d401affc-f081-4eee-bd61-d109cc88f6de,  Fasting blood sugar > 140 mg/dL,0,0
d401affc-f081-4eee-bd61-d109cc88f6de,  Fasting serum triglycerides > 300 mg/dL,0,0
d401affc-f081-4eee-bd61-d109cc88f6de,"  Fasting SGOT, SGPT, GGT, or bilirubin greater than twice the upper limit of normal (a subject will not be excluded if a second measurement is less than twice the upper limit of normal)",1,0
d401affc-f081-4eee-bd61-d109cc88f6de,  Creatinine > 2.0 mg/dL,0,0
d401affc-f081-4eee-bd61-d109cc88f6de,Inclusion Criteria:,1,1
d401affc-f081-4eee-bd61-d109cc88f6de,"  adult patients, >=18 years of age;",1,1
d401affc-f081-4eee-bd61-d109cc88f6de,  HER2-negative metastatic breast cancer,0,1
d401affc-f081-4eee-bd61-d109cc88f6de,  candidates for taxane-based chemotherapy;,1,1
d401affc-f081-4eee-bd61-d109cc88f6de,  ECOG performance status of 0 or 1.,1,1
d401affc-f081-4eee-bd61-d109cc88f6de,Exclusion Criteria:,1,1
d401affc-f081-4eee-bd61-d109cc88f6de,  previous chemotherapy for metastatic breast cancer;,1,1
d401affc-f081-4eee-bd61-d109cc88f6de,  prior adjuvant/neo-adjuvant chemotherapy within 6 months prior to study;,1,1
d401affc-f081-4eee-bd61-d109cc88f6de,  prior radiotherapy for treatment of metastatic disease;,1,1
d401affc-f081-4eee-bd61-d109cc88f6de,  chronic daily treatment with aspirin (325 mg/day) or clopidogrel(>75mg/day).,0,1
791790a6-187b-4e4b-be5f-9e5304e9ec2c,INTERVENTION 1: ,0,1
791790a6-187b-4e4b-be5f-9e5304e9ec2c,  Trastuzumab,1,1
791790a6-187b-4e4b-be5f-9e5304e9ec2c,"  Participants with metastatic breast cancer received a loading dose of 4 milligrams per kilograms (mg/kg) of trastuzumab intravenously (IV) followed by 2 mg/kg of trastuzumab IV once a week along with docetaxel 100 milligrams per meter square (mg/m^2), every 3 weeks or paclitaxel 90 mg/m^2 once a week until progression of disease, occurrence of intolerable toxicity, the participant discontinues the study or dies.",1,1
791790a6-187b-4e4b-be5f-9e5304e9ec2c,INTERVENTION 1: ,0,0
791790a6-187b-4e4b-be5f-9e5304e9ec2c,  Doxorubicin+Cyclophosphamide (AC) Followed by Docetaxel (AC→T),1,0
791790a6-187b-4e4b-be5f-9e5304e9ec2c,  Doxorubicin 60 mg/m² IV bolus injection in combination with cyclophosphamide 600 mg/m² IV bolus injection on Day 1 of every 3 weeks for 4 cycles followed by docetaxel 100 mg/m² IV infusion every 3 weeks for another 4 cycles.,1,0
791790a6-187b-4e4b-be5f-9e5304e9ec2c,INTERVENTION 2: ,1,1
791790a6-187b-4e4b-be5f-9e5304e9ec2c,  AC Followed by Docetaxel + Herceptin (AC→TH),1,1
791790a6-187b-4e4b-be5f-9e5304e9ec2c,"  Doxorubicin 60 mg/m² IV bolus injection in combination with cyclophosphamide 600 mg/m² IV bolus Injection on Day 1 of every 3 weeks for 4 cycles. Herceptin 4 mg/kg IV infusion on Day 1 of Cycle 5, followed by Herceptin 2 mg/kg by IV infusion weekly starting from Day 8; and docetaxel 100 mg/m² IV infusion on Day 2 of Cycle 5, then on Day 1 of every 3 weeks for all subsequent cycles ( total 4 cycles). After completion of the last cycle of chemotherapy, Herceptin 6 mg/kg IV infusion was administered every 3 weeks until 1 year from date of initial Herceptin dose.",1,1
b95b7438-ec16-4d4d-826d-5891e7982b36,Adverse Events 1:,1,1
b95b7438-ec16-4d4d-826d-5891e7982b36,  Total: 0/10 (0.00%),0,1
b95b7438-ec16-4d4d-826d-5891e7982b36,Adverse Events 1:,1,1
b95b7438-ec16-4d4d-826d-5891e7982b36,  Total: 0/1699 (0.00%),0,1
b95b7438-ec16-4d4d-826d-5891e7982b36,Adverse Events 2:,1,1
b95b7438-ec16-4d4d-826d-5891e7982b36,  Total: 0/2004 (0.00%),0,1
4988cb16-7dbb-4847-84e0-4a7957b32c72,Inclusion Criteria:,1,0
4988cb16-7dbb-4847-84e0-4a7957b32c72,  The participant is Japanese,1,0
4988cb16-7dbb-4847-84e0-4a7957b32c72,  The participant has an Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1,1,0
4988cb16-7dbb-4847-84e0-4a7957b32c72,  The participant has a histopathologically or cytologically confirmed diagnosis of breast adenocarcinoma that is now metastatic or locally-recurrent and inoperable with curative intent,1,0
4988cb16-7dbb-4847-84e0-4a7957b32c72,  The participant has measurable and/or non-measurable disease,1,0
4988cb16-7dbb-4847-84e0-4a7957b32c72,  The participants' primary and/or metastatic tumor is Human Epidermal Growth Factor Receptor 2 (HER2) negative,1,0
4988cb16-7dbb-4847-84e0-4a7957b32c72,  The participant received neo adjuvant or adjuvant taxane therapy  6 months prior to the study,1,0
4988cb16-7dbb-4847-84e0-4a7957b32c72,  The participant received neo adjuvant or adjuvant biologic therapy  6 weeks prior to the study,1,0
4988cb16-7dbb-4847-84e0-4a7957b32c72,  The participant completed all prior radiotherapy  3 weeks prior to the study registration date,1,0
4988cb16-7dbb-4847-84e0-4a7957b32c72,"  The participant received prior hormonal therapy for breast cancer in the neo adjuvant, adjuvant,and/or the metastatic setting  2 weeks prior to the study registration date",1,0
4988cb16-7dbb-4847-84e0-4a7957b32c72,  The participant's left ventricular ejection fraction (LVEF) is within normal ranges,1,0
4988cb16-7dbb-4847-84e0-4a7957b32c72,"  The participant has adequate hematologic, hepatic, and coagulation function.",1,0
4988cb16-7dbb-4847-84e0-4a7957b32c72,  Eligible participants of reproductive potential agree to use adequate contraceptive methods (hormonal or barrier methods) during the study period and for 12 weeks after the last dose of study medication,1,0
4988cb16-7dbb-4847-84e0-4a7957b32c72,Exclusion Criteria:,1,1
4988cb16-7dbb-4847-84e0-4a7957b32c72,"  The participant has a concurrent active malignancy other than breast adenocarcinoma, adequately treated non-melanomatous skin cancer, or other non-invasive carcinoma or in situ neoplasm. Participants with previous treatment of malignancy is eligible, provided that she has been disease free for >3 years",1,0
4988cb16-7dbb-4847-84e0-4a7957b32c72,  The participant has a known sensitivity to docetaxel,1,0
4988cb16-7dbb-4847-84e0-4a7957b32c72,  The participant has a known sensitivity to agents of similar biologic composition as ramucirumab,1,0
4988cb16-7dbb-4847-84e0-4a7957b32c72,  The participant has a history of chronic diarrheal disease within 6 months prior to the study registration date,1,0
4988cb16-7dbb-4847-84e0-4a7957b32c72,  The participant has received irradiation to a major bone marrow area within 30 days prior to the study registration date,1,0
4988cb16-7dbb-4847-84e0-4a7957b32c72,  The participant has received any experimental agents within 4 weeks prior to the study registration date,1,0
4988cb16-7dbb-4847-84e0-4a7957b32c72,  The participant has a history of uncontrolled hereditary or acquired bleeding or thrombotic disorders,1,0
4988cb16-7dbb-4847-84e0-4a7957b32c72,  The participant has Grade 3-4 bleeding within 3 months prior to the study registration date,1,0
4988cb16-7dbb-4847-84e0-4a7957b32c72,"  The participant has an ongoing or active infection requiring antibiotic, antifungal, or antiviral therapy",1,0
4988cb16-7dbb-4847-84e0-4a7957b32c72,"  The participant has uncontrolled hypertension, symptomatic congestive heart failure, psychiatric illness, or any other serious uncontrolled medical disorders",1,0
4988cb16-7dbb-4847-84e0-4a7957b32c72,  The participant has brain metastases,1,0
4988cb16-7dbb-4847-84e0-4a7957b32c72,  The participant has known human immunodeficiency virus infection or acquired immunodeficiency syndrome related illness,1,0
4988cb16-7dbb-4847-84e0-4a7957b32c72,  The participant is pregnant or lactating,1,0
4988cb16-7dbb-4847-84e0-4a7957b32c72,  The participant has not fully recovered from effects of prior chemotherapy,1,0
4988cb16-7dbb-4847-84e0-4a7957b32c72,  The participant has undergone major surgery within 28 days prior to the study registration date,1,1
4988cb16-7dbb-4847-84e0-4a7957b32c72,Inclusion Criteria:,1,1
4988cb16-7dbb-4847-84e0-4a7957b32c72,  18 to 55 years old,1,1
4988cb16-7dbb-4847-84e0-4a7957b32c72,  Metastatic breast carcinoma.,1,1
4988cb16-7dbb-4847-84e0-4a7957b32c72,  Histological confirmation of invasive breast carcinoma,0,1
4988cb16-7dbb-4847-84e0-4a7957b32c72,"  Complete or partial response to pre-transplant standard-dose chemotherapy, or hormonal therapy. For bone disease, stable disease (SD) is allowed.",1,1
4988cb16-7dbb-4847-84e0-4a7957b32c72,  Patient must have tumor assessed for estrogen-receptor (ER) and progesterone-receptor (PR).,1,1
4988cb16-7dbb-4847-84e0-4a7957b32c72,  Persistent detectable or non-detectable CTCs by Veridex Technology after completion of standard therapy.,1,1
4988cb16-7dbb-4847-84e0-4a7957b32c72,  Zubrod performance status 0 or 1.,1,1
4988cb16-7dbb-4847-84e0-4a7957b32c72,"  Patients must have adequate hematological parameters (White Blood Count/WBC >= 3,000/mm3; platelet count >= 100,000/mm3)",1,1
4988cb16-7dbb-4847-84e0-4a7957b32c72,  Adequate renal function (serum creatinine <= 1.5mg/dl),1,1
4988cb16-7dbb-4847-84e0-4a7957b32c72,"  Adequate liver function (total bilirubin, serum glutamate pyruvate transaminase (SGPT) <= 2 times normal).",1,1
4988cb16-7dbb-4847-84e0-4a7957b32c72,  Adequate cardiac function (Left ventricular ejection fraction (LVEF)>= 50%).,1,1
4988cb16-7dbb-4847-84e0-4a7957b32c72,  Adequate pulmonary function (Carbon Monoxide Diffusing Capacity (DLCO)>= 50% of predicted value).,1,1
4988cb16-7dbb-4847-84e0-4a7957b32c72,"  Females of childbearing (women who are post-menopausal < 1 year, not surgically sterilized, or not abstinent) potential must use adequate contraception.",1,1
4988cb16-7dbb-4847-84e0-4a7957b32c72,  Patients must sign an informed consent.,1,1
4988cb16-7dbb-4847-84e0-4a7957b32c72,Exclusion Criteria:,1,1
4988cb16-7dbb-4847-84e0-4a7957b32c72,  Prior HDCT with Autologous hematopoietic stem cell transplantation (AHST) in adjuvant setting.,1,1
4988cb16-7dbb-4847-84e0-4a7957b32c72,  History or presence of brain/leptomeningeal metastasis.,1,1
4988cb16-7dbb-4847-84e0-4a7957b32c72,  History of other malignancies except cured non-melanoma skin cancer or cured cervical carcinoma in situ.,1,1
4988cb16-7dbb-4847-84e0-4a7957b32c72,"  Presence of other severe medical illnesses or conditions. Severe heart disease, (myocardial ischemia, myocardial infarction, etc.) Pulmonary disease (COPD, asthma,etc). Renal failure and hepatic failure.",1,1
4988cb16-7dbb-4847-84e0-4a7957b32c72,"  Clinically significant active infections (patient requiring IV antibiotics, uncontrolled infections, or hospitalized due to infections).",1,1
4988cb16-7dbb-4847-84e0-4a7957b32c72,  HIV infection.,1,1
4988cb16-7dbb-4847-84e0-4a7957b32c72,  Pregnant or lactating women.,1,1
4988cb16-7dbb-4847-84e0-4a7957b32c72,"  Medical, social or psychologic factors which would prevent the patient from receiving or cooperating with the full course of therapy or understanding the informed consent procedure.",1,1
e244fc3a-53b3-4158-99c5-a45afc726af6,Inclusion Criteria:,1,0
e244fc3a-53b3-4158-99c5-a45afc726af6,  Participants must have histologically or cytologically confirmed breast cancer or non-hodgkin lymphoma and independent of protocol eligibility be determined to require one of the chemotherapy regimens listed below,1,0
e244fc3a-53b3-4158-99c5-a45afc726af6,  Participants must require as standard-of-care treatment a chemotherapy regimen that includes one of the following combinations:,1,0
e244fc3a-53b3-4158-99c5-a45afc726af6,  doxorubicin 60 mg/m2 and cyclophosphamide 600 mg/m2;,1,0
e244fc3a-53b3-4158-99c5-a45afc726af6,"  doxorubicin 50 mg/m2, cyclophosphamide 500 mg/m2, and docetaxel 75 mg/m2;",1,0
e244fc3a-53b3-4158-99c5-a45afc726af6,"  doxorubicin 50 mg/m2, cyclophosphamide 750 mg/m2, vincristine 1.4 mg/m2 (capped at 2 mg dose), and prednisone 100 mg +/- rituximab 375 mg/m2",1,0
e244fc3a-53b3-4158-99c5-a45afc726af6,"  Age >18 years.Because these treatment regimens are rarely used in pediatric oncology, children are excluded from this study but will be eligible for future pediatric phase 2 trials.",1,0
e244fc3a-53b3-4158-99c5-a45afc726af6,  Life expectancy of greater than 6 months.,0,0
e244fc3a-53b3-4158-99c5-a45afc726af6,  Zubrod performance score 2 or better.,0,0
e244fc3a-53b3-4158-99c5-a45afc726af6,  Patients must have normal organ and marrow function as defined below:,1,0
e244fc3a-53b3-4158-99c5-a45afc726af6,"  leukocytes >3,000/microliter (mcL) (unless due to cancer in marrow)",0,0
e244fc3a-53b3-4158-99c5-a45afc726af6,"  absolute neutrophil count >1,500/mcL (unless due to cancer in marrow)",0,0
e244fc3a-53b3-4158-99c5-a45afc726af6,"  platelets >100,000/mcL (unless due to cancer in marrow)",0,0
e244fc3a-53b3-4158-99c5-a45afc726af6,  total bilirubin <1.5 X normal institutional limits,0,0
e244fc3a-53b3-4158-99c5-a45afc726af6,  Aspartate aminotransferase (AST) or serum glutamic oxaloacetic transaminase (SGOT)/Alanine aminotransferase (ALT) or serum glutamic pyruvic transaminase (SGPT) <2.5 X institutional upper limit of normal,0,0
e244fc3a-53b3-4158-99c5-a45afc726af6,  creatinine within normal institutional limits OR,0,0
e244fc3a-53b3-4158-99c5-a45afc726af6,  creatinine clearance >60 mL/min/1.73 m2 for patients with creatinine levels above institutional normal,0,0
e244fc3a-53b3-4158-99c5-a45afc726af6,  left ventricular function  50 % ejection fraction,0,0
e244fc3a-53b3-4158-99c5-a45afc726af6,"  Because the standard of care chemotherapy agents are known to be teratogenic, women of child-bearing potential and men must agree to use adequate contraception (hormonal or barrier method of birth control; abstinence) prior to study entry and for the duration of study participation. Should a woman become pregnant or suspect she is pregnant while participating in this study, she should inform her treating physician immediately.",1,0
e244fc3a-53b3-4158-99c5-a45afc726af6,  Ability to understand and the willingness to sign a written informed consent document.,1,0
e244fc3a-53b3-4158-99c5-a45afc726af6,Exclusion Criteria:,1,0
e244fc3a-53b3-4158-99c5-a45afc726af6,  Patients who have had chemotherapy or radiotherapy within 4 weeks (6 weeks for nitrosoureas or mitomycin C) prior to entering the study or those who have not recovered from adverse events due to agents administered more than 4 weeks earlier.,1,0
e244fc3a-53b3-4158-99c5-a45afc726af6,  Patients may not be receiving any other investigational agents,1,0
e244fc3a-53b3-4158-99c5-a45afc726af6,  Patients with known brain metastases should be excluded from this clinical trial because progressive neurologic dysfunction would confound the evaluation of neuro-cognitive outcomes.,1,0
e244fc3a-53b3-4158-99c5-a45afc726af6,"  History of allergic reactions attributed to compounds of similar chemical or biologic composition to mesna or other agents used in the study (ie. sulfur containing drugs including ""sulfa antibiotics"" and celecoxib).",1,1
e244fc3a-53b3-4158-99c5-a45afc726af6,  Patients requiring ongoing pharmacologic treatment of dementia are excluded.,1,0
e244fc3a-53b3-4158-99c5-a45afc726af6,"  Uncontrolled intercurrent illness including, but not limited to, ongoing or active infection, symptomatic congestive heart failure, unstable angina pectoris, cardiac arrhythmia, or psychiatric illness/social situations that would limit compliance with study requirements.",1,0
e244fc3a-53b3-4158-99c5-a45afc726af6,"  Pregnant women are excluded from this study because the chemotherapy agents have known teratogenic or abortifacient effects. Because there is a potential risk for adverse events in nursing infants secondary to treatment of the mother with chemotherapy, breastfeeding should be discontinued if the mother is treated with chemotherapy.",1,0
e244fc3a-53b3-4158-99c5-a45afc726af6,  HIV-positivity is NOT a specific exclusion criteria.,1,0
e244fc3a-53b3-4158-99c5-a45afc726af6,Inclusion Criteria:,1,0
e244fc3a-53b3-4158-99c5-a45afc726af6,  Females or males age 18-90 able to give informed consent,1,0
e244fc3a-53b3-4158-99c5-a45afc726af6,  Undergoing bilateral mastectomy with immediate expander reconstruction or immediate implant reconstruction,0,0
e244fc3a-53b3-4158-99c5-a45afc726af6,  May have either malignant or benign breast condition,0,0
e244fc3a-53b3-4158-99c5-a45afc726af6,Exclusion Criteria:,1,0
e244fc3a-53b3-4158-99c5-a45afc726af6,  Antibiotic use in the fourteen days prior to surgical date,1,0
e244fc3a-53b3-4158-99c5-a45afc726af6,  Undergoing unilateral tissue expander reconstruction,0,0
e244fc3a-53b3-4158-99c5-a45afc726af6,  Documented allergy to chlorhexidine gluconate,1,0
e244fc3a-53b3-4158-99c5-a45afc726af6,  Prior radiation therapy to the breast or chest wall (ie for breast conservation or mantle radiation for Hodgkin's disease),0,0
e244fc3a-53b3-4158-99c5-a45afc726af6,"  Documented allergy to all three of the following antibiotics: cephalosporin, trimethoprim/sulfamethoxazole, and levofloxacin",1,1
e244fc3a-53b3-4158-99c5-a45afc726af6,  Pregnant women,0,0
e244fc3a-53b3-4158-99c5-a45afc726af6,"  Vulnerable subjects - prisoners, institutionalized individuals",0,0
e244fc3a-53b3-4158-99c5-a45afc726af6,  Non-English speaking patients without adequate interpreter assistance,1,0
56530063-b408-47f2-8421-6be825f5559c,INTERVENTION 1: ,1,1
56530063-b408-47f2-8421-6be825f5559c,  Bisphosphonate IV Q4W,0,1
56530063-b408-47f2-8421-6be825f5559c,  Open-label intravenous (IV) bisphosphonate once every 4 weeks (Q4W),1,1
56530063-b408-47f2-8421-6be825f5559c,INTERVENTION 2: ,1,1
56530063-b408-47f2-8421-6be825f5559c,  Denosumab 180 mg Q12W,0,1
56530063-b408-47f2-8421-6be825f5559c,  Open-label denosumab 180 mg by subcutaneous injection once every 12 weeks (Q12W),1,1
d3379655-55b7-4e58-88c2-c3cd3e8cb557,Key Inclusion Criteria:,1,1
d3379655-55b7-4e58-88c2-c3cd3e8cb557,"  - Women with locally advanced, recurrent, or metastatic breast cancer along with confirmation of estrogen-receptor positive (ER+). Measurable disease defined as at least one lesion  10 mm by CT or MRI that can be accurately measured in at least one dimension (CT scan slice thickness  5 mm) OR  Bone lesions: lytic or mixed (lytic + blastic) in the absence of measurable disease as defined above.",1,1
d3379655-55b7-4e58-88c2-c3cd3e8cb557,  Key Exclusion Criteria:,0,1
d3379655-55b7-4e58-88c2-c3cd3e8cb557,"  - Patients who received more than one chemotherapy line. Patients with only non-measurable lesions other than lytic or mixed (lytic and blastic) bone metastasis.Previous treatment with exemestane, mTOR inhibitors, PI3K inhibitors or AKT inhibitors.",1,1
d3379655-55b7-4e58-88c2-c3cd3e8cb557,Newly diagnosed or recurrent breast cancer,1,1
d3379655-55b7-4e58-88c2-c3cd3e8cb557,  Considering a referral or already referred to a plastic surgeon by their surgical oncologist for possible reconstruction,1,1
d3379655-55b7-4e58-88c2-c3cd3e8cb557,  Considering or completing a mastectomy.,1,1
d3379655-55b7-4e58-88c2-c3cd3e8cb557,  Does not have known distant metastatic disease (stage IV disease) at the time of recruitment,1,1
d3379655-55b7-4e58-88c2-c3cd3e8cb557,  Female.,0,1
d3379655-55b7-4e58-88c2-c3cd3e8cb557,  English-speaking.,0,1
d3379655-55b7-4e58-88c2-c3cd3e8cb557,  At least 18 years of age.,0,1
d3379655-55b7-4e58-88c2-c3cd3e8cb557,  Able to understand and willing to sign an IRB-approved written informed consent document.,1,1
7bf988b4-5e6f-41c4-bef6-7b3549dd58d9,Inclusion Criteria:,1,1
7bf988b4-5e6f-41c4-bef6-7b3549dd58d9,  Adults with histologically or cytologically confirmed breast adenocarcinoma,1,1
7bf988b4-5e6f-41c4-bef6-7b3549dd58d9,  radiographic evidence of at least one bone mets,1,1
7bf988b4-5e6f-41c4-bef6-7b3549dd58d9,"  Easter Cooperative Oncology Group status of 0, 1 or 2;",1,1
7bf988b4-5e6f-41c4-bef6-7b3549dd58d9,  adequate organ function,0,1
7bf988b4-5e6f-41c4-bef6-7b3549dd58d9,Exclusion Criteria:,1,1
7bf988b4-5e6f-41c4-bef6-7b3549dd58d9,  Current or prior IV bisphosphonate administration,1,1
7bf988b4-5e6f-41c4-bef6-7b3549dd58d9,  current or prior oral bisphosphonates for bone mets,1,1
7bf988b4-5e6f-41c4-bef6-7b3549dd58d9,  life expectancy of less than 6 months,0,1
7bf988b4-5e6f-41c4-bef6-7b3549dd58d9,Inclusion Criteria:,1,0
7bf988b4-5e6f-41c4-bef6-7b3549dd58d9,"  Patients must have histologically confirmed breast cancer that is ER positive and/or PR positive, and HER2/neu negative and have disease that is metastatic (stage IV)",1,1
7bf988b4-5e6f-41c4-bef6-7b3549dd58d9,"  HER2/neu negative disease determined using commercially available/approved assay in local institutional or reference laboratory, according to American Society of Clinical Oncology (ASCO)/College of American Pathologists (CAP) guidelines (IHC 0-1+ or 2+ with HER2/17 ratio on FISH <= 1.8).",1,1
7bf988b4-5e6f-41c4-bef6-7b3549dd58d9,  ER/PR expression performed by standard immunohistochemical assay and classified as ER and/or PR-positive according to ASCO/CAP guidelines (1-100% expression),1,1
7bf988b4-5e6f-41c4-bef6-7b3549dd58d9,"  Histologic and/or cytologic confirmation of metastatic disease is encouraged whenever feasible, furthermore, if feasible, the biopsy should confirm that the metastatic tumor is ER and/or PR positive and HER2/neu negative. For patients in whom histologic biopsy confirmation and/or assessment of ER/PR/HER2 of metastatic disease is not feasible, it is required that the primary tumor be ER and/or PR-positive and HER2/neu negative.",1,1
7bf988b4-5e6f-41c4-bef6-7b3549dd58d9,  Measurable disease (RECIST 1.1) or non-measurable (assessable) disease,1,0
